glacier_id,glacier_na,glims_id,wgi_id,rgi_id,nhd_id,gnis_id,recno,parent_ice,glac_status
G241592E36969N,CA,G241592E36969N,,RGI60-02.15060,33995167, ,,,exists
G241527E36980N,CA,G241527E36980N,,RGI60-02.15061,33995121, ,,,exists
G241320E36992N,CA,G241320E36992N,,RGI60-02.15062,33994975, ,,,exists
G241279E36993N,CA,G241279E36993N,,RGI60-02.15063,33994943, ,,,exists
G241480E36999N,CA,G241480E36999N,,RGI60-02.15064,33995069, ,,,exists
G241524E37000N,CA,G241524E37000N,,RGI60-02.15065,,,,,exists
G241268E36996N,CA,G241268E36996N,,RGI60-02.15066,33994929, ,,,exists
G241271E36998N,CA,G241271E36998N,,RGI60-02.15067,33994925, ,,,exists
G241315E36998N,CA,G241315E36998N,,RGI60-02.15068,33994949, ,,,exists
G241528E37002N,CA,G241528E37002N,,RGI60-02.15069,33995097, ,,,exists
G241599E37003N,CA,G241599E37003N,,RGI60-02.15070,77318982, ,,,exists
G241302E36999N,CA,G241302E36999N,,RGI60-02.15071,33994941, ,,,exists
G241311E36998N,CA,G241311E36998N,,RGI60-02.15072,33994945, ,,,exists
G241531E37003N,CA,G241531E37003N,,RGI60-02.15073,33995095, ,,,exists
G241596E37004N,CA,G241596E37004N,,RGI60-02.15074,77318980, ,,,exists
G241589E37004N,CA,G241589E37004N,,RGI60-02.15075,77318978, ,2.02E+11,,exists
G241520E37007N,CA,G241520E37007N,,RGI60-02.15076,33995073, ,,,exists
G241583E37008N,CA,G241583E37008N,US2L00213003,RGI60-02.15077,77318976, ,,,exists
G241510E37008N,CA,G241510E37008N,,RGI60-02.15078,33995055, ,,,exists
G241513E37007N,CA,G241513E37007N,,RGI60-02.15079,33995057, ,,,exists
G241506E37009N,CA,G241506E37009N,,RGI60-02.15080,33995047, ,,,exists
G241570E37014N,CA,G241570E37014N,,RGI60-02.15081,33995079, ,2.02E+11,,exists
G241567E37015N,CA,G241567E37015N,,RGI60-02.15082,33995067, ,2.02E+11,,exists
G241288E37019N,CA,G241288E37019N,,RGI60-02.15083,33994881, ,,,exists
